id,site_eui
75757,14.943780349855249
75758,13.340416302326952
75759,15.400093107589672
75760,15.056137923897865
75761,15.093980533714305
75762,15.450996339060456
75763,15.43684255044546
75764,14.743851358885921
75765,12.79159144362521
75766,15.885277520459336
75767,14.574323400753242
75768,13.057998147507647
75769,12.807147058792694
75770,12.30565192863705
75771,11.878732118993627
75772,12.79054090805537
75773,12.856070420215627
75774,12.373889812467812
75775,15.033440469447456
75776,14.763168910327401
75777,14.075062777751866
75778,15.470290298458545
75779,15.017791709597645
75780,15.131137013098897
75781,14.953138677755291
75782,14.56878414626741
75783,15.164372582729598
75784,12.251008988960493
75785,13.581678674056093
75786,15.223729196390813
75787,13.872437166854876
75788,14.668248774070403
75789,14.899378074911734
75790,16.518172341886352
75791,13.587613028632003
75792,14.340175208006844
75793,14.05903707861595
75794,15.429477624910092
75795,14.422992814786259
75796,14.607036385078507
75797,13.732486894612553
75798,15.848058285198643
75799,15.634672902083938
75800,13.49819449590416
75801,16.051595638479426
75802,14.261890691647846
75803,14.08633295155721
75804,15.013544058391691
75805,14.234605255088194
75806,14.744492688424167
75807,12.629308663861213
75808,14.279034257050526
75809,11.893994463524326
75810,12.868188425739671
75811,15.100177333156715
75812,13.926563363108166
75813,15.528415216039381
75814,15.6686632214204
75815,16.263634129764057
75816,16.301060671352133
75817,12.606540872019941
75818,15.658887294617998
75819,15.812015856563239
75820,16.14263224759948
75821,14.002173333539346
75822,13.500596773026647
75823,13.682348970428777
75824,9.640968370604936
75825,15.012300781703976
75826,13.817195157385697
75827,6.9582696745382595
75828,6.720088356155019
75829,7.060312655131152
75830,6.74607250944895
75831,8.208660675794016
75832,8.18393299192039
75833,9.178898045010731
75834,9.18394335109396
75835,9.265663299169043
75836,8.201956668083884
75837,8.067752841603266
75838,7.924071701114055
75839,7.988976203513939
75840,8.257823344184752
75841,9.072874598896991
75842,8.018966577662876
75843,8.075034981410406
75844,8.78615662968098
75845,10.655585462238479
75846,8.825667047108471
75847,8.1842417535063
75848,8.212255946024339
75849,7.984602501065383
75850,8.133281851019948
75851,7.924071701114055
75852,8.136511551963531
75853,8.825667047108471
75854,8.825667047108471
75855,7.924071701114055
75856,7.957664173378363
75857,8.841125836900241
75858,8.18190249183558
75859,7.95660652494342
75860,7.95660652494342
75861,8.072008611549307
75862,5.904453198198949
75863,6.4090118251929
75864,4.660754294908064
75865,6.900470136573329
75866,5.6714901041291625
75867,4.918995781534528
75868,5.134421177432055
75869,5.4265831170969925
75870,8.832484216374553
75871,7.703285667585979
75872,8.888325105227945
75873,9.10612074850239
75874,7.861049381503406
75875,8.946206675449579
75876,7.494950683624737
75877,7.543202152616704
75878,7.566067837289487
75879,7.569349308968658
75880,9.574585576790662
75881,9.24465223523315
75882,9.77511703718375
75883,12.521007677593056
75884,9.425152178948295
75885,10.786565802778387
75886,3.781410634045228
75887,5.58840980483976
75888,8.04975165812385
75889,3.8167752216070188
75890,8.544047888663838
75891,8.146484707059168
75892,6.823150987065766
75893,7.709188429707053
75894,6.586440544404191
75895,8.324092203037461
75896,9.181029650214528
75897,7.12101342075889
75898,8.307464234130059
75899,7.829499023350611
75900,7.956488521947741
75901,7.079954626939918
75902,7.219442564983081
75903,7.555204554151801
75904,7.43865175759818
75905,9.345487123748061
75906,5.954823478093193
75907,8.607419652610922
75908,6.047639995985822
75909,5.959128209386678
75910,9.040319644123908
75911,8.023134409641463
75912,7.12101342075889
75913,6.659043395835152
75914,7.911725647791613
75915,7.727899024622669
75916,7.0072718996410215
75917,6.659043395835152
75918,7.550604675730892
75919,9.312324563420827
75920,7.700629418330348
75921,7.423485548785511
75922,8.407533473998543
75923,7.381236613843378
75924,7.516333712765228
75925,7.834032860916406
75926,10.611544613594308
75927,9.852613753244453
75928,10.064133212447715
75929,7.604932512505708
75930,11.531082970606528
75931,8.392016135237704
75932,7.707807924546258
75933,7.655870938531123
75934,6.508994642782929
75935,8.076874475831485
75936,9.749173012888352
75937,8.965870691183683
75938,10.91043670059824
75939,8.51454371023096
75940,8.175675483105712
75941,10.324110940006511
75942,10.370940435312793
75943,11.565314516321932
75944,9.668036984192378
75945,11.882824748817661
75946,10.206102104394649
75947,10.232346180946864
75948,9.735682389888641
75949,9.623239311692535
75950,9.305950160881203
75951,15.699396135349112
75952,11.602012689235238
75953,11.981553318796713
75954,9.776906508668421
75955,10.400112530462813
75956,8.059281076756223
75957,8.679939946656107
75958,7.624588105657843
